pdb_file,hydrophobicity_contacts
relaxed_2wmp_model_455_corrected_H_0001_2wmp,45
relaxed_2wmp_model_456_corrected_H_0001_2wmp,48
relaxed_2wmp_model_457_corrected_H_0001_2wmp,50
relaxed_2wmp_model_458_corrected_H_0001_2wmp,35
relaxed_2wmp_model_459_corrected_H_0001_2wmp,42
relaxed_2wmp_model_46_corrected_H_0001_2wmp,42
relaxed_2wmp_model_460_corrected_H_0001_2wmp,33
relaxed_2wmp_model_461_corrected_H_0001_2wmp,36
relaxed_2wmp_model_462_corrected_H_0001_2wmp,59
relaxed_2wmp_model_463_corrected_H_0001_2wmp,64
relaxed_2wmp_model_464_corrected_H_0001_2wmp,61
relaxed_2wmp_model_465_corrected_H_0001_2wmp,53
relaxed_2wmp_model_466_corrected_H_0001_2wmp,55
relaxed_2wmp_model_467_corrected_H_0001_2wmp,67
relaxed_2wmp_model_468_corrected_H_0001_2wmp,69
relaxed_2wmp_model_469_corrected_H_0001_2wmp,51
relaxed_2wmp_model_47_corrected_H_0001_2wmp,25
relaxed_2wmp_model_470_corrected_H_0001_2wmp,54
relaxed_2wmp_model_471_corrected_H_0001_2wmp,49
relaxed_2wmp_model_472_corrected_H_0001_2wmp,62
relaxed_2wmp_model_473_corrected_H_0001_2wmp,57
relaxed_2wmp_model_474_corrected_H_0001_2wmp,62
relaxed_2wmp_model_475_corrected_H_0001_2wmp,51
relaxed_2wmp_model_476_corrected_H_0001_2wmp,50
relaxed_2wmp_model_477_corrected_H_0001_2wmp,44
relaxed_2wmp_model_478_corrected_H_0001_2wmp,44
relaxed_2wmp_model_479_corrected_H_0001_2wmp,41
relaxed_2wmp_model_48_corrected_H_0001_2wmp,30
relaxed_2wmp_model_480_corrected_H_0001_2wmp,59
relaxed_2wmp_model_481_corrected_H_0001_2wmp,51
relaxed_2wmp_model_482_corrected_H_0001_2wmp,46
relaxed_2wmp_model_483_corrected_H_0001_2wmp,40
relaxed_2wmp_model_484_corrected_H_0001_2wmp,59
relaxed_2wmp_model_485_corrected_H_0001_2wmp,65
relaxed_2wmp_model_486_corrected_H_0001_2wmp,42
relaxed_2wmp_model_487_corrected_H_0001_2wmp,45
relaxed_2wmp_model_488_corrected_H_0001_2wmp,68
relaxed_2wmp_model_489_corrected_H_0001_2wmp,50
relaxed_2wmp_model_49_corrected_H_0001_2wmp,7
relaxed_2wmp_model_490_corrected_H_0001_2wmp,52
relaxed_2wmp_model_491_corrected_H_0001_2wmp,57
relaxed_2wmp_model_492_corrected_H_0001_2wmp,30
relaxed_2wmp_model_493_corrected_H_0001_2wmp,48
relaxed_2wmp_model_494_corrected_H_0001_2wmp,67
relaxed_2wmp_model_495_corrected_H_0001_2wmp,47
relaxed_2wmp_model_496_corrected_H_0001_2wmp,61
relaxed_2wmp_model_497_corrected_H_0001_2wmp,50
relaxed_2wmp_model_498_corrected_H_0001_2wmp,51
relaxed_2wmp_model_499_corrected_H_0001_2wmp,43
relaxed_2wmp_model_5_corrected_H_0001_2wmp,26
relaxed_2wmp_model_50_corrected_H_0001_2wmp,18
relaxed_2wmp_model_500_corrected_H_0001_2wmp,55
relaxed_2wmp_model_501_corrected_H_0001_2wmp,59
relaxed_2wmp_model_502_corrected_H_0001_2wmp,52
relaxed_2wmp_model_503_corrected_H_0001_2wmp,56
relaxed_2wmp_model_504_corrected_H_0001_2wmp,61
