pdb_file,hydrophobicity_contacts
relaxed_3ona_model_356_corrected_H_0001_3ona,24
relaxed_3ona_model_357_corrected_H_0001_3ona,15
relaxed_3ona_model_358_corrected_H_0001_3ona,17
relaxed_3ona_model_359_corrected_H_0001_3ona,18
relaxed_3ona_model_36_corrected_H_0001_3ona,11
relaxed_3ona_model_360_corrected_H_0001_3ona,17
relaxed_3ona_model_361_corrected_H_0001_3ona,19
relaxed_3ona_model_362_corrected_H_0001_3ona,21
relaxed_3ona_model_363_corrected_H_0001_3ona,16
relaxed_3ona_model_364_corrected_H_0001_3ona,17
relaxed_3ona_model_365_corrected_H_0001_3ona,24
relaxed_3ona_model_366_corrected_H_0001_3ona,24
relaxed_3ona_model_367_corrected_H_0001_3ona,20
relaxed_3ona_model_368_corrected_H_0001_3ona,15
relaxed_3ona_model_369_corrected_H_0001_3ona,19
relaxed_3ona_model_37_corrected_H_0001_3ona,28
relaxed_3ona_model_370_corrected_H_0001_3ona,24
relaxed_3ona_model_371_corrected_H_0001_3ona,20
relaxed_3ona_model_372_corrected_H_0001_3ona,20
relaxed_3ona_model_373_corrected_H_0001_3ona,21
relaxed_3ona_model_374_corrected_H_0001_3ona,19
relaxed_3ona_model_375_corrected_H_0001_3ona,21
relaxed_3ona_model_376_corrected_H_0001_3ona,21
relaxed_3ona_model_377_corrected_H_0001_3ona,18
relaxed_3ona_model_378_corrected_H_0001_3ona,20
relaxed_3ona_model_379_corrected_H_0001_3ona,22
relaxed_3ona_model_38_corrected_H_0001_3ona,14
relaxed_3ona_model_380_corrected_H_0001_3ona,22
relaxed_3ona_model_381_corrected_H_0001_3ona,27
relaxed_3ona_model_382_corrected_H_0001_3ona,17
relaxed_3ona_model_383_corrected_H_0001_3ona,11
relaxed_3ona_model_384_corrected_H_0001_3ona,15
relaxed_3ona_model_385_corrected_H_0001_3ona,15
relaxed_3ona_model_386_corrected_H_0001_3ona,20
relaxed_3ona_model_387_corrected_H_0001_3ona,25
relaxed_3ona_model_388_corrected_H_0001_3ona,16
relaxed_3ona_model_389_corrected_H_0001_3ona,14
relaxed_3ona_model_39_corrected_H_0001_3ona,23
relaxed_3ona_model_390_corrected_H_0001_3ona,15
relaxed_3ona_model_391_corrected_H_0001_3ona,23
relaxed_3ona_model_392_corrected_H_0001_3ona,37
relaxed_3ona_model_393_corrected_H_0001_3ona,17
relaxed_3ona_model_394_corrected_H_0001_3ona,18
